Course_Index,Course_Title,Course_Units,Course_Description,Course_Prerequisites,Major_Restriction,Course_Tags
CSE 21,Mathematics for Algorithms and Systems,4.0,"This course will cover mathematical concepts used to model and analyze algorithms and computer systems. Topics include counting techniques (inclusion-exclusion; recursive counting; permutations and combinations), data representations, analysis of algorithms (order notation; time complexities; loop invariants), recurrence relations, graphs and trees (data structure representations; basic graph algorithms; special classes of graphs), and basic probability and its applications. Prerequisites: CSE 20 or MATH 15A or MATH 31CH; students who have completed MATH 154 or MATH 184 or MATH 188 previously or concurrently may not receive credit for CSE 21; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 20', 'MATH 15A', 'MATH 31CH']]",[],[]
CSE 29,Systems Programming and Software Tools,4.0,"A programmer's view of how computer systems execute programs, store information, and communicate. Emphasis on understanding the details of how a single computer program executes on a computer. Hands-on systems programming using the C programming language and software tools (e.g., gdb, valgrind, make) in the UNIX environment. Builds foundation for courses on computer organization, operating systems, networks, and compilers. Prerequisites: CSE 11 or CSE 8B or ECE 15; two units of credit offered for CSE 29 if CSE 15L taken previously.","[['CSE 11', 'CSE 8B', 'ECE 15']]",[],[]
CSE 30,Computer Organization,4.0,"Introduction to organization of modern digital computers. Students learn how to write programs in assembly, design basic processors capable of executing the assembly programs, and how to build the basic components of processors using digital logic. Topics include assembly programming, combinational and sequential logic, processor performance, processor design, and the memory hierarchy. Prerequisites: CSE 15L or CSE 29 or ECE 15; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 15L', 'CSE 29', 'ECE 15']]",[],[]
CSE 42,Building and Programming Electronic Devices,2.0,"This course allows students to use what they learned in introductory programming courses to make things happen in the real world. Working in teams, students will first learn to program Arduino-based devices. Teams of students will design a custom device and program it to do their bidding. This course is targeted to first-year students and sophomores in engineering and science disciplines who want to practice applying what they have learned in a programming class and to have the chance to program things other than computers. Program or materials fees may apply. Prerequisites: restricted to first-year and sophomore students; instructor approval required.","[[], []]",[],[]
CSE 86,C++ for Java Programmers,2.0,"Helps the Java programmer to be productive in the C++ programming environment. Topics include the similarities and differences between Java and C++ with special attention to pointers, operator overloading, templates, the STL, the preprocessor, and the C++ Runtime Environment. Prerequisites: CSE 12 or consent of instructor.",[['CSE 12']],[],[]
CSE 87,First-year Student Seminar,1.0,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students. Prerequisites: none.",[[]],[],[]
CSE 89,Introduction to Computer Science and Engineering Seminar,2.0,"A seminar format discussion led by CSE faculty on topics in central areas of computer science, concentrating on the relation among them, recent developments, and future directions. This seminar introduces incoming students to resources and opportunities in the CSE department. May be taken for credit up to three times. Restricted to students in the CSE-PACE program. Prerequisites: none.",[[]],[],[]
CSE 90,Undergraduate Seminar,1.0,A seminar providing an overview of a topic of current research interest to the instructor. The goal is to present a specialized topic in computer science and engineering students. May be taken for credit three times when topics vary.,[],[],[]
CSE 91,Perspectives in Computer Science and Engineering,2.0,"A seminar format discussion led by CSE faculty on topics in central areas of computer science, concentrating on the relation among them, recent developments, and future directions. Prerequisites: majors only.",[[]],[],[]
CSE 95,Tutor Apprenticeship,2.0,Students assigned to tutor for a CSE course for the first time receive individual and group mentoring and training on how to be effective tutors to help them develop the skills and tools needed to be effective in their tutor role. Students must have a concurrent tutor appointment in a CSE course. See CSE website for application information.,[],[],[]
CSE 99,Independent Study in Computer Science and Engineering,4.0,Independent reading or research by special arrangement with a faculty member. Prerequisites: lower-division standing. Completion of thirty units at UC San Diego with a UC San Diego GPA of 3.0. Special Studies form required. Department stamp required. Consent of instructor and approval of the department.,[[]],[],[]
CSE 100,Advanced Data Structures,4.0,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also, memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL. Recommended preparation: background in C or C++ programming. Prerequisites: CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188 and CSE 12 and CSE 15L and CSE 30 or ECE 15; restricted to undergraduates. Graduate students will be allowed as space permits. Students may not receive credit for both CSE 100R and CSE 100.","[['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188'], ['CSE 12'], ['CSE 15L'], ['CSE 30', 'ECE 15']]",[],[]
CSE 100R,Advanced Data Structures,4.0,"High-performance data structures and supporting algorithms. Use and implementation of data structures like (un)balanced trees, graphs, priority queues, and hash tables. Also memory management, pointers, recursion. Theoretical and practical performance analysis, both average case and amortized. Uses C++ and STL. Prerequisites: CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188 and CSE 12 and CSE 15L and CSE 30 or ECE 15. This course is a distance education course. Students may not receive credit for both CSE 100R and CSE 100.","[['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188'], ['CSE 12'], ['CSE 15L'], ['CSE 30', 'ECE 15']]",[],[]
CSE 101,Design and Analysis of Algorithms,4.0,"Design and analysis of efficient algorithms with emphasis of nonnumerical algorithms such as sorting, searching, pattern matching, and graph and network algorithms. Measuring complexity of algorithms, time and storage. NP-complete problems. Prerequisites: CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188 and CSE 12 or DSC 30; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188'], ['CSE 12', 'DSC 30']]",[],[]
CSE 103,A Practical Introduction to Probability and Statistics,4.0,"Distributions over the real line. Independence, expectation, conditional expectation, mean, variance. Hypothesis testing. Learning classifiers. Distributions over R^n, covariance matrix. Binomial, Poisson distributions. Chernoff bound. Entropy. Compression. Arithmetic coding. Maximal likelihood estimation. Bayesian estimation. CSE 103 is not duplicate credit for ECE 109, ECON 120A, or MATH 183. Prerequisites: MATH 20B and CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188; restricted to CS25, CS26, CS27, and CS28 majors. Other students will be allowed as space permits.","[['MATH 20B'], ['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188']]","['CS25', 'CS26', 'CS27', 'CS28']",[]
CSE 105,Theory of Computability (4) Tag:,4.0,"An introduction to the mathematical theory of computability. Formal languages. Finite automata and regular expressions. Push-down automata and context-free languages. Computable or recursive functions: Turing machines, the halting problem. Undecidability. Prerequisites: CSE 12 and CSE 20 or MATH 109 or MATH 15A or MATH 31CH and CSE 21 or MATH 100A or MATH 103A or MATH 154 or MATH 158 or MATH 184 or MATH 188. Graduate students will be allowed as space permits.","[['CSE 12'], ['CSE 20', 'MATH 109', 'MATH 15A', 'MATH 31CH'], ['CSE 21', 'MATH 100A', 'MATH 103A', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188']]",[],[]
CSE 106,Discrete and Continuous Optimization (4) Tag:,4.0,"One frequently deals with problems in engineering, data science, business, economics, and other disciplines for which algorithmic solutions that optimize a given quantity under constraints are desired. This course is an introduction to the models, theory, methods, and applications of discrete and continuous optimization. Topics include shortest paths, flows, linear, integer, and convex programming, and continuous optimization techniques such as steepest descent and Lagrange multipliers. Prerequisites: MATH 18 or MATH 31AH and MATH 20C or MATH 31BH and CSE 21 or DSC 40B or MATH 154 or MATH 158 or MATH 184 or MATH 188.","[['MATH 18', 'MATH 31AH'], ['MATH 20C', 'MATH 31BH'], ['CSE 21', 'DSC 40B', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188']]",[],[]
CSE 107,Introduction to Modern Cryptography (4) Tag:,4.0,"Topics include private and public-key cryptography, block ciphers, data encryption, authentication, key distribution and certification, pseudorandom number generators, design and analysis of protocols, zero-knowledge proofs, and advanced protocols. Emphasizes rigorous mathematical approach including formal definitions of security goals and proofs of protocol security. Prerequisites: CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188 and CSE 101 and CSE 105; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188'], ['CSE 101'], ['CSE 105']]",[],[]
CSE 109,Introduction to Programming Contests,2.0,"This course introduces the algorithms and concepts necessary to compete in programming contests like ACM International Collegiate Programming Contest (ICPC). The course requires weekly completion of short problem sets. Topics covered include standard library classes and data structures useful for programming contest problems, basic complexity analysis, dynamic programming, graph algorithms, number theory, combinatorics, computational geometry, combinatorial games, and contest strategy. Prerequisites: CSE 15L or CSE 29 or permission of instructor.","[['CSE 15L', 'CSE 29']]",[],[]
CSE 110,Software Engineering,4.0,"Introduction to software development and engineering methods, including specification, design, implementation, testing, and process. An emphasis on team development, agile methods, and use of tools such as IDE’s, version control, and test harnesses. Prerequisites: CSE 100 or CSE 100R; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 112,Advanced Software Engineering (4) Tag: Applications of,4.0,"This course will cover software engineering topics associated with large systems development such as requirements and specifications, testing and maintenance, and design. Specific attention will be given to development tools and automated support environments. Prerequisites: CSE 110; restricted to students within the CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 110']],[],[]
CSE 118,Ubiquitous Computing (4) Tag: Applications of,4.0,"Explores emerging opportunities enabled by cheap sensors and networked computing devices. Small research projects will be conducted in teams, culminating in project presentations at the end of the term. Section will cover material relevant to the project, such as research methods, software engineering, teamwork, and project management. Prerequisites: any course from the following: CSE 131, CSE 132B, COGS 102C, COGS 121, COGS 184, COMT 111B, COMT 115, ECE 111, ECE 118, ECE 191, ECE 192, or ICAM 160B; or consent of instructor.","[['CSE 131', 'CSE 132B', 'COGS 102C', 'COGS 121', 'COGS 184', 'ECE 111', 'ECE 118', 'ECE 191', 'ECE 192']]",[],[]
CSE 120,Principles of Computer Operating Systems (4) Tag:,4.0,"Basic functions of operating systems; basic kernel structure, concurrency, memory management, virtual memory, file systems, process scheduling, security and protection. Prerequisites: CSE 15L or CSE 29 and CSE 101 and CSE 110; restricted to students within the CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 15L', 'CSE 29'], ['CSE 101'], ['CSE 110']]",[],[]
CSE 121,Real-World Operating Systems (4) Tag:,4.0,"Case study of architecture and implementation of a modern operating system or parts of multiple operating systems. In-depth analysis through detailed study of deployed source code. Topics vary based on OS understudy each term. Emphasis on emerging concerns and the new techniques and technologies used to address them. Recommended preparation: Knowledge of programming languages and paradigms, the components that comprise them, and the principles of language design are strongly recommended but not required. Prerequisites: CSE 120.",[['CSE 120']],[],[]
CSE 122,Wireless Networks (4) Tag:,4.0,"This course covers the design, operation, and use of wireless technologies, with emphasis on how physical resource constraints and application constraints meet to affect link, network, system, and application design, with hands-on experience in multiple technologies. May be coscheduled with CSE 222C. Recommended preparation: Basics of software engineering, modular design, data structures, physical (in-memory) representation of data structures, code compilation, build systems, version control, debuggers, C code, and pointer manipulation in C. Prerequisites: CSE 30 or ECE 30 and CSE 101 or ECE 141A and CSE 110 or ECE 141B.","[['CSE 30', 'ECE 30'], ['CSE 101', 'ECE 141A'], ['CSE 110', 'ECE 141B']]",[],[]
CSE 123,Computer Networks (4) Tag:,4.0,"Introduction to concepts, principles, and practice of computer communication networks with examples from existing architectures, protocols, and standards with special emphasis on internet protocols. Layering and the OSI model; physical and data link layers; local and wide area networks; datagrams and virtual circuits; routing and congestion control; internetworking. Transport protocols. Students may not receive credit for both CSE 123 and ECE 158A. Prerequisites: CSE 15L or CSE 29 and CSE 101 and CSE 110; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 15L', 'CSE 29'], ['CSE 101'], ['CSE 110']]",[],[]
CSE 124,Networked Services (4) Tag:,4.0,"(Renumbered from CSE 123B.) The architecture of modern networked services, including data center design, enterprise storage, fault tolerance, and load balancing. Protocol software structuring, the Transmission Control Protocol (TCP), remote procedure calls, protocols for digital audio and video communication, overlay and peer-to-peer systems, secure communication. Credit may not be received for both CSE 124 and ECE 158B. Students may not receive credit for both CSE 123B and CSE 124. Prerequisites: CSE 15L or CSE 29 and CSE 101 and CSE 110; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 15L', 'CSE 29'], ['CSE 101'], ['CSE 110']]",[],[]
CSE 125,Software System Design and Implementation (4) Tag: Applications of,4.0,"Design and implementation of large, complex software systems involving multiple aspects of CSE curriculum. Emphasis is on software system design applied to a single, large group project with close interaction with instructor. Prerequisites: senior standing with substantial programming experience, and consent of instructor. Department stamp required.","[[], []]",[],[]
CSE 127,"Introduction to Computer Security (4) Tags: Systems, Applications of",4.0,"Topics include basic cryptography, security/threat analysis, access control, auditing, security models, distributed systems security, and theory behind common attack and defense techniques. The class will go over formal models as well as the bits and bytes of security exploits. Prerequisites: CSE 21 or MATH 154 or MATH 158 or MATH 184 or MATH 188 and CSE 120 or CSE 123 or CSE 124; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 21', 'MATH 154', 'MATH 158', 'MATH 184', 'MATH 188'], ['CSE 120', 'CSE 123', 'CSE 124']]",[],"['Systems', 'Applications of Computing']"
CSE 130,Programming Languages: Principles and Paradigms (4) Tag:,4.0,"(Formerly CSE 173.) Introduction to programming languages and paradigms, the components that comprise them, and the principles of language design, all through the analysis and comparison of a variety of languages (e.g., Pascal, Ada, C++, PROLOG, ML.) Will involve programming in most languages studied. Prerequisites: CSE 12 and CSE 100 or CSE 100R and CSE 105; restricted to students within the CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 12'], ['CSE 100', 'CSE 100R'], ['CSE 105']]",[],[]
CSE 131,Compiler Construction (4) Tag: Applications of,4.0,"(Formerly CSE 131B.) Introduction to the compilation of programming languages, practice of syntax-directed translation, type checking, code generation, optimization, interpretation, and compiler structure. Students may receive repeat credit for CSE 131A and CSE 131B by completing CSE 131. May be coscheduled with CSE 231. Prerequisites: CSE 100 or CSE 100R and CSE 105 and CSE 130; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R'], ['CSE 105'], ['CSE 130']]",[],[]
CSE 132A,Database System Principles (4) Tag:,4.0,"Basic concepts of databases, including data modeling, relational databases, query languages, optimization, dependencies, schema design, and concurrency control. Exposure to one or several commercial database systems. Advanced topics such as deductive and object-oriented databases, time allowing. Prerequisites: CSE 100 or CSE 100R; restricted to students within the CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 132B,Database Systems Applications (4) Tag: Applications of,4.0,"Design of databases, transactions, use of trigger facilities and datablades. Performance measuring, organization of index structures. Prerequisites: CSE 132A; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 132A']],[],[]
CSE 132C,Database System Implementation (4) Tag:,4.0,"This is a systems-focused course on the internals of a relational database management system (RDBMS). RDBMSs power large-scale structured data management in most digital applications. The topics span data storage, buffer management, indexing, sorting, relational operator implementations, query processing and optimization, parallel RDBMSs, and “Big Data” systems. Two C++ programming projects require implementation of a buffer manager and a B+ tree index using a given RDBMS skeleton. Recommended preparation: C++ programming knowledge is required; CSE 132B is recommended. Prerequisites: CSE 132A or DSC 102; restricted to CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 132A', 'DSC 102']]",[],[]
CSE 134B,Web Client Languages (4) Tag: Applications of,4.0,"Design and implementation of interactive World Wide Web clients using helper applications and plug-ins. The main language covered will be Java. Prerequisites: CSE 100 or CSE 100R; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 135,Online Database Analytics Applications (4) Tag: Applications of,4.0,"Database, data warehouse, and data cube design; SQL programming and querying with emphasis on analytics; online analytics applications, visualizations, and data exploration; performance tuning. Prerequisites: CSE 100 or CSE 100R; restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 100', 'CSE 100R']]",[],[]
CSE 136,Enterprise-Class Web Applications (4) Tag: Applications of,4.0,"Design and implementation of very large-scale, web-based applications. Topics covered typically include modeling organizational needs, design and revision management, J2EE or similar software platforms, web server and application server functionality, reuse of object-oriented components, model-view-controller and other design patterns, clustering, load-balancing, fault-tolerance, authentication, and usage accounting. Prerequisites: CSE 135.",[['CSE 135']],[],[]
CSE 140,"Components and Design Techniques for Digital Systems (4) Tags: Systems, Theory/Abstraction, Applications of",4.0,"Design of Boolean logic and finite state machines; two-level, multilevel combinational logic design, combinational modules and modular networks, Mealy and Moore machines, analysis and synthesis of canonical forms, sequential modules. Prerequisites: CSE 20 or MATH 109 or MATH 15A or MATH 31CH and CSE 30; CSE 140L must be taken concurrently; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 20', 'MATH 109', 'MATH 15A', 'MATH 31CH'], ['CSE 30']]",[],"['Systems', 'Theory/Abstraction', 'Applications of Computing']"
CSE 140L,"Digital Systems Laboratory (2) Tags: Systems, Applications of",2.0,"Implementation with computer-aided design tools for combinational logic minimization and state machine synthesis. Hardware construction of a small digital system. Prerequisites: CSE 20 or MATH 109 or MATH 15A or MATH 31CH and CSE 30; CSE 140 must be taken concurrently; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 20', 'MATH 109', 'MATH 15A', 'MATH 31CH'], ['CSE 30']]",[],"['Systems', 'Applications of Computing']"
CSE 141,Introduction to Computer Architecture (4) Tag:,4.0,"Introduction to computer architecture. Computer system design. Processor design. Control design. Memory systems. Two units of credit offered for CSE 141 if CSE 142 taken previously. Prerequisites: CSE 30 and CSE 140 and CSE 140L; CSE 141L should be taken concurrently; restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.","[['CSE 30'], ['CSE 140'], ['CSE 140L']]",[],[]
CSE 141L,Project in Computer Architecture (2) Tag:,2.0,"Hands-on computer architecture project aiming to familiarize students with instruction set architecture, and design of process. Control and memory systems. Prerequisites: CSE 30 and CSE 140 and CSE 140L; CSE 141 should be taken concurrently; restricted to CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 30'], ['CSE 140'], ['CSE 140L']]",[],[]
CSE 142,Introduction to Computer Architecture: A Software Perspective (4) Tag:,4.0,"This course covers the operation, structure, and programming interfaces of modern CPUs with an emphasis on exploiting processor features to improve software performance and efficiency. The topics covered in this course include performance, energy, x86 assembly, compiler optimizations, pipelining, instruction-level parallelism, caches, memory-level parallelism, multi-threading, multi-core processors, and SIMD. Two units of credit offered for CSE 142 if CSE 141 taken previously or concurrently. Prerequisites: CSE 30 and CSE 100 or CSE 100R; CSE 142L should be taken concurrently. Restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 30'], ['CSE 100', 'CSE 100R']]",[],[]
CSE 142L,"Software Project for Computer Architecture (2) Tags: Systems, Applications of",2.0,"This course provides hands-on experience in using the features of modern CPUs to increase the performance and efficiency of programs. Prerequisites: CSE 30 and CSE 100 or CSE 100R; CSE 142 should be taken concurrently. Restricted to students within the CS25, CS26, CS27, CS28, and EC26 majors. All other students will be allowed as space permits.","[['CSE 30'], ['CSE 100', 'CSE 100R']]",[],"['Systems', 'Applications of Computing']"
CSE 143,Microelectronic System Design (4) Tag:,4.0,"VLSI process technologies; circuit characterization; logic design styles; clocking strategies; computer-aided design tools; subsystem design; design case studies. System design project from hardware description, logic synthesis, physical layout to design verification. Prerequisites: CSE 140. Restricted to CS25, CS26, CS27, and EC26 majors. All other students will be allowed as space permits.",[['CSE 140']],[],[]
CSE 145,"Embedded Systems Design Project (4) Tags: Systems, Applications of",4.0,"This project-based course builds an embedded computing system. Topics include rapid system prototyping, hardware/software codesign, technical writing, public speaking, project management, entrepreneurship, and research ethics. May be coscheduled with CSE 237D. Prerequisites: instructor approval required, by application only.",[[]],[],"['Systems', 'Applications of Computing']"
CSE 147,Introduction to Embedded Systems (4) Tag:,4.0,"This course introduces the breadth of embedded systems, including hardware, software and modeling techniques. Embedded hardware topics include various types of processors and accelerators, memory, system and communication interfaces, sensors, and actuators. Embedded software includes timing, real-time and distributed scheduling, operating systems. The class will have design projects using off the shelf hardware and software components. Recommended preparation: Basic understanding of operating systems and computer architecture is strongly recommended. Prerequisites: CSE 30.",[['CSE 30']],[],[]
CSE 148,"Advanced Processor Architecture Design Project (4) Tags: Systems, Applications of",4.0,"Students will use hardware description language tools to add advanced architectural features to a basic processor design. These features may include pipelining, superscalar execution, branch prediction, and advanced cache features. Designs will be implemented in programmable logic devices. Prerequisites: CSE 141 and CSE 141L; graduate students will be allowed as space permits.","[['CSE 141'], ['CSE 141L']]",[],"['Systems', 'Applications of Computing']"
CSE 150A,Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making (4) Tag:,4.0,"Introduction to probabilistic models at the heart of modern artificial intelligence. Specific topics to be covered include probabilistic methods for reasoning and decision-making under uncertainty; inference and learning in Bayesian networks; prediction and planning in Markov decision processes; applications to intelligent systems, speech and natural language processing, information retrieval, and robotics. Prerequisites: CSE 12 or DSC 40B and CSE 15L or CSE 29 or DSC 80 and COGS 118D or CSE 103 or ECE 109 or ECON 120A or MAE 108 or MATH 180A or MATH 180B or MATH 181A or MATH 183 or MATH 186 and MATH 20A and MATH 18 or MATH 31AH; restricted to students within the CS25, CS26, CS27, CS28, EC26, and DS25 majors. All other students will be allowed as space permits.","[['CSE 12', 'DSC 40B'], ['CSE 15L', 'CSE 29', 'DSC 80'], ['COGS 118D', 'CSE 103', 'ECE 109', 'ECON 120A', 'MAE 108', 'MATH 180A', 'MATH 180B', 'MATH 181A', 'MATH 183', 'MATH 186'], ['MATH 20A'], ['MATH 18', 'MATH 31AH']]",[],[]
